movieName,openDate,sales,screens,nation,genre,watchGrade
서울의 봄,2023-11-22,127926951712,2463,한국,드라마,12세이상관람가
파묘,2024-02-22,115128797502,2367,한국,"미스터리,공포(호러)",15세이상관람가
범죄도시4,2024-04-24,106900205911,2980,한국,"액션,범죄",15세이상관람가
아바타: 물의 길,2022-12-14,137647702899,2809,미국,"액션,어드벤처,SF,스릴러",12세이상관람가
범죄도시3,2023-05-31,104687737771,2582,한국,"범죄,액션",15세이상관람가
탑건: 매버릭,2022-06-22,88370744694,1975,미국,액션,12세이상관람가
한산: 용의 출현,2022-07-27,73711802377,2223,한국,"액션,드라마",12세이상관람가
엘리멘탈,2023-06-14,71141723066,1664,미국,애니메이션,전체관람가
공조2: 인터내셔날,2022-09-07,70918411586,2389,한국,"액션,코미디",15세이상관람가
범죄도시2,2022-05-18,58804584098,1786,한국,"범죄,액션",15세이상관람가
밀수,2023-07-26,49685303003,1932,한국,액션,15세이상관람가
노량: 죽음의 바다,2023-12-20,45006190475,2196,한국,"사극,액션",12세이상관람가
헌트,2022-08-10,44602463153,1625,한국,"액션,드라마",15세이상관람가
가디언즈 오브 갤럭시: Volume 3,2023-05-03,44358441834,1819,미국,액션,12세이상관람가
미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,40430706769,2437,미국,"액션,스릴러,어드벤처",15세이상관람가
콘크리트 유토피아,2023-08-09,37412826232,1731,한국,"드라마,기타",15세이상관람가
웡카,2024-01-31,33957565189,1753,미국,"판타지,드라마",전체관람가
올빼미,2022-11-23,32860926124,1541,한국,스릴러,15세이상관람가
영웅,2022-12-21,32302850750,1314,한국,"드라마,뮤지컬",12세이상관람가
오펜하이머,2023-08-15,34444961856,1636,미국,"스릴러,드라마",15세이상관람가
쥬라기 월드: 도미니언,2022-06-01,29226463310,2218,미국,"액션,어드벤처",12세이상관람가
마녀(魔女) Part2. The Other One,2022-06-15,28920265670,1796,한국,액션,15세이상관람가
토르: 러브 앤 썬더,2022-07-06,29505081721,2143,미국,"액션,어드벤처,판타지",12세이상관람가
