사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-02,1호선,0150,서울역,578,17,6983,7715,11521,49271,36199,100524,66412,217982,63451,149551,59035,80261,79340,72731,89802,84753,86383,83948,71818,74786,101659,80618,112825,83433,163772,93716,208996,90912,116789,66853,79939,46712,82535,41296,54738,26429,25736,12382,4115,3348,79,199,0,0,0,0
2024-02,1호선,0151,시청,74,2,1878,4266,3581,20312,6851,62024,9187,179479,11931,82304,14383,40277,20112,38949,21223,36362,25540,36391,34407,30447,44080,27104,54335,24609,85236,25340,147779,22953,58563,12373,50725,9025,45007,7883,27101,5906,9335,3487,563,1003,8,40,0,0,0,0
2024-02,1호선,0152,종각,133,1,3352,5021,3756,25760,5665,98742,9488,245265,11360,138624,16300,58656,25975,56454,32169,50037,40809,50074,51002,41355,63739,36572,76266,38428,140462,43233,205004,46696,92773,24191,78822,11912,81880,8756,60605,6590,26472,3860,2011,1244,21,12,0,0,0,0
2024-02,1호선,0153,종로3가,140,6,3314,2291,3059,10241,4854,22718,7694,59485,11218,59730,17831,52802,28666,61345,37817,63277,45632,60522,53845,51990,62676,43572,69151,41270,77684,37239,87822,37778,52670,19550,43426,10125,44514,8038,34134,6516,15293,4082,1453,2029,26,68,0,0,0,0
2024-02,1호선,0154,종로5가,20,1,1641,2969,2505,13775,4998,35692,8487,87252,12088,58252,20499,52213,32598,55825,40471,55028,48038,51149,55931,47277,61451,40324,64981,38209,82080,33106,91729,29215,46416,16582,33717,9372,31247,6898,16962,5258,5576,3096,347,1101,0,12,0,0,0,0
2024-02,1호선,0155,동대문,701,8,9527,1753,7632,5598,11791,9429,16768,16592,17085,19588,15182,22080,17148,26889,22039,28826,25275,26413,27518,25460,28742,23711,28762,22156,25804,21029,24186,20936,17027,18961,14357,13693,12718,12378,10353,11841,5124,8195,682,2719,4,226,0,0,0,0
2024-02,1호선,0156,신설동,313,25,7586,1784,8387,7403,18494,19718,26900,48773,17928,29621,16287,19333,17589,17105,20523,17841,22490,18555,21998,17992,23209,18922,26809,20112,36888,21268,47729,27791,19182,20536,12644,14060,11195,13421,7896,11485,3392,7942,334,2370,5,36,0,0,0,0
2024-02,1호선,0157,제기동,367,10,4382,1975,7771,7619,18300,17877,29039,34339,20753,29613,22382,34530,29765,40792,36293,44652,39551,45782,43087,45412,46965,37579,45052,32271,40556,26240,36745,24834,19325,17673,12844,11461,8415,10380,5388,8874,2375,5752,174,1595,0,35,0,0,0,0
2024-02,1호선,0158,청량리(서울시립대입구),859,44,9224,2217,15287,9017,40843,14392,51630,32275,32436,29679,28932,35589,34818,44001,40575,49088,43762,49636,47445,51514,52716,47777,55170,43852,49921,41896,42700,49877,23767,34826,18687,21321,14011,20763,9882,17078,3941,10581,268,3704,9,87,1,1,0,0
