,title,title_label,description,description_label
0, 코로나  안 걸린 병사만 호구    내부   업무 가중  불만 폭발,0,신종  코로나 바이러스 감염증 코로나  변이 오미크론 대확산으로 군부대에서도 확진자가 폭증하고 있는 가운데 이로 인해 업무가 늘어난 비확진자들 사이에서  코로나  안 걸린 병사들만 호구 라는 불만의 목소리가  ,0
1,오미크론 정점 지났나 일  시 확진자  만여명  소폭 감소 ,0,오미크론 변이 이후 급증하던  코로나  확진자 수가 다소 주춤하는 모습이다   일 오후  시까지 전국의  코로나  신규 확진자 수는  만명대를 기록했다  방역당국과 서울시 등 각 지방자치단체에 따르면  ,0
2,고양특례시  차량형 임시 선별진료소 운영,0,또한  차량형 임시 선별진료소 운영으로 임시 선별진료소에 대한 접근 편의성이 개선될 것으로 예상된다   코로나  유행 상황에 발맞춰 다각도로 활용할 예정 이라고 밝혔다 ,0
3,성남시   년 제 회 추가경정예산  억원 확정,1,지원비   코로나  예방접종시행비 등  억원 규모의 국 도비 보조사업도 편성했다  성남시  년도 제 회  집행으로 지역경제 활성화 및  코로나 로 어려움을 겪고 있는 성남시민들을 위해 노력하겠다고 말했다 ,0
4, 새 정부 통상  산업 수요를 반영한 최적의 조직 운용 필요 ,1,무역협회 신승관 전무는  코로나 와 미중 패권경쟁이 장기화되는 가운데 우크라이나 사태로 통상 문제가 국가안보 문제와 직결되고 있다 면서  월 출범할 새 정부는 변화무쌍한 국제정세에 유연히 대처하고  ,0
5,    비핵화 협력 에 시진핑  이사갈 수 없는 이웃  첫 탐색전서 우 ,0,시 주석이  코로나  국면에서  년 이상 외국 방문을 하지 않고 있고 중국의 엄격한 방역으로 외빈들의 방중도 제한되는 상황이다  하지만  한중 정상회담의 조기 개최 필요성에 양측이 공감한 것으로 보인다  윤 당선인은  ,0
6,강릉  코로나  확진자  명  번  추가 발생,1,강릉에서  코로나  확진자  명이 추가로 발생했다   일 강릉시보건소에 따르면  명 강릉  번 이 검사를 받아 양성으로 판정됐다  이날 하루  코로나  확진자는  명이다  이 가운데 병 의원 신속항원  ,0
7,홍석천  매일  코로나  검사  안 걸린 게 더 불안   ,0,방송인 홍석천이 신종  코로나  바이러스 감염증 코로나  사태 장기화에 대한 심경을 밝혔다  홍석천은  일 자신의 인스타그램에  매일 코를 쑤신다  방송하기 전에는 한 번 더 해 본다 라는 글과 함께 사진을 게재했다  ,0
8,이충원 의성군의원    지선 경북도의원 출마 선언,0,이 군의원은 주요 정책으로  성공적인 통합신공항 이전  의성군 농업 발전과 농업인의 권익 향상  소상공인 및 자영업자  코로나  피해 보상 지원 확대  중소농가특별지원보조사업 확대  기반 첨단농업청년농업인  ,0
9,의료진 간병인  극한 노동  환자는 구인난 요양병원  비명 ,0, 코로나 를 옮길까 두렵고 대체할 간병인을 구하기도 어려워 사실상 병원에 갇힌 신세가 된 겁니다   한춘자  어느 간병인이나 다 지금  작년   월부터 누구나 지금 다 못 나가고 있어요  실제로  코로나 에 걸리면  ,0
