,title,title_label,description,description_label
0, 인디인벤       올해는 다시 오프라인 중심의 행사로 ,0,서태건 조직위원장은 이에 대해  많은 개발자와 참가자분들이  코로나  사태 이전  가장 성공적인 행사였던  다만  아직  코로나 가 종식되지 않은 만큼  온라인 행사 역시 함께 진행될 예정이다      오프라인  ,1
1,인천 서구 서로 음 사용  조원 달성 경품 이벤트,0,이어  코로나 로 모두가 힘든 시기에 구민들이 이번 이벤트로 작은 위로가 되길 바란다 며  앞으로도  공동체화폐 로 거듭나고 있는 서로 음에 많은 관심과 사랑을 부탁드린다 고 강조했다 ,1
2,부산 영도구  매장 내  회용품 용기 사용 단속 월  일부터,1, 코로나  확산으로 한시적으로 유예되었던  회용품 사용규제가 다시 시행되면서 다음 달부터 식품접객업소  영도구 관계자는  생활패턴의 변화 및  코로나  등의 영향으로  회용품 사용량이 급증하고 생활폐기물도  ,1
3, 신문다운 모습 보이겠다  경남신문 남길우 회장 유임,0,남길우 회장은  코로나 를 이겨내고 경남 최고 신문다운 모습을 보이겠다는 약속을 드린다 며  경영 목표인  보고 싶은 신문  찾고 싶은 신문 으로 거듭나도록 최선의 노력을 다하겠다 고 말했다 ,1
4, 일부터 자가검사키트 개수 제한 없이 구매 가능,0, 코로나  자가검사키트   자료 뉴시스 오는  일부터  코로나  자가검사키트의  인당  개 구매 제한이 풀려 수량 제한 없이 살 수 있게 된다  자가검사키트 제조업체의 소포장 생산도 허용된다 식품의약품안전처는  ,1
5,한국관세사회 영문명칭  로 변경,1,이날 총회는 코로나  상황을 감안해 서면으로 개최되는 등 이번 총회를 포함해  년 연속 서면총회 개최라는 진기록을 세우게 됐다  총회에선 본회 이사회에서 상정한 회칙개정안에 대해  천 명의 참석  ,1
6,대선주조  중증장애인 부부 위한 합동결혼식 후원,1,관계자는  코로나 로 어려운 상황임에도 대선주조는 꾸준히 후원을 이어오며 지역 장애인들의 복지와 권익향상에 큰 도움을 주고 있다 고 말했다  조우현 대선주조 대표는  봄바람에 살랑이는 꽃처럼 신랑  ,1
7,인수위  금융위에 대출규제 완화 소상공인 손실 연계 금융지원 마련 주문,0,인수위는 금융위에  코로나  피해 소상공인 자영업자 손실보상금 등 지원정책과 연계해 다양한 금융지원방안을 마련해달라 라고 말했다   차산업 시대 혁신성장  벤처 민간투자 확대 등에 대한 주문도 이어졌다  ,1
8,    서울뉴스  포토뉴스,0,동대문구  장안벚꽃길서 봄꽃 추억 만들기  김진중 기자  동대문구가  코로나 로 인해 올해 봄꽃 축제를 취소하는 대신  일부터 다음달  일까지 중랑천 벚꽃길에 다양한 포토존과 야간 조명 시설을 설치해  ,1
9, 알쓸정책   코로나  대응 정책자금 보증 만기  월말까지 추가 연장,1,그러나  년 거치  년 분할 상환에 따라  코로나  최초 확산 시점인  년  월부터 정책금융기관에서   코로나  확산으로 피해를 입은 소상공인과 중소기업은 다음 달부터  월 말까지 원금상환이 도래하는 대출  ,1
