movieCd,movieNm,openDt,audiCnt,startDt,endDt
20190808,교섭,2023-01-18,"[163179, 24049]",2023-01-21,2023-02-01
20196478,영웅,2022-12-21,"[185254, 38130, 43505, 10264]",2023-01-02,2023-02-05
20210140,젠틀맨,2022-12-28,[26293],2023-01-04,2023-01-04
20214823,유령,2023-01-18,"[4919, 57268, 10950]",2023-01-17,2023-02-04
20215315,스위치,2023-01-04,"[8732, 14695, 6928]",2023-01-07,2023-01-29
20224109,장화신은 고양이: 끝내주는 모험,2023-01-04,"[19414, 19840, 4436]",2023-01-14,2023-02-08
20224723,시간을 꿈꾸는 소녀,2023-01-11,[1143],2023-01-20,2023-01-20
20225061,아바타: 물의 길,2022-12-14,"[429533, 56896, 90918, 22893]",2023-01-01,2023-02-02
20227762,올빼미,2022-11-23,"[23419, 2435]",2023-01-05,2023-01-18
20227925,몬스터 신부: 101번째 프로포즈,2022-12-28,[4614],2023-01-09,2023-01-09
20228255,프린스 챠밍,2023-01-11,[1324],2023-01-19,2023-01-19
20228308,극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,[3869],2023-01-10,2023-01-10
20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,"[29733, 9874, 8154, 4915]",2023-01-03,2023-02-07
20228555,더 퍼스트 슬램덩크,2023-01-04,"[47241, 102660, 36048]",2023-01-12,2023-01-31
20228640,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,[17049],2023-01-06,2023-01-06
20228829,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,[6787],2023-01-08,2023-01-08
20228895,캐리와 슈퍼콜라,2023-01-18,[12687],2023-01-27,2023-01-27
20229166,라일 라일 크로커다일,2023-01-18,[6671],2023-01-30,2023-01-30
20229205,메간,2023-01-25,[9814],2023-02-06,2023-02-06
20229518,천룡팔부: 교봉전,2023-01-25,[2776],2023-02-09,2023-02-09
20229551,상견니,2023-01-25,[12812],2023-02-03,2023-02-03
