movieCd,movieNm,openDt,rank,salesAcc,audiAcc,typeNm,nationNm,genreNm,watchGradeNm,actor
20225061,아바타: 물의 길,2022-12-14,[1],95843585053,7742682,장편,미국,"['액션', '어드벤처', 'SF', '스릴러']",12세이상관람가,조 샐다나
20196478,영웅,2022-12-21,[2],16442796442,1672933,장편,한국,"['드라마', '뮤지컬']",12세이상관람가,정성화
20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,[3],7068912679,692130,장편,일본,['멜로/로맨스'],12세이상관람가,미치에다 슌스케
20210140,젠틀맨,2022-12-28,[4],1697482823,178851,장편,한국,['범죄'],15세이상관람가,주지훈
20227762,올빼미,2022-11-23,[5],32011012056,3246186,장편,한국,['스릴러'],15세이상관람가,류준열
20228640,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,[6],3579760605,373832,장편,한국,['애니메이션'],전체관람가,김영은
20215315,스위치,2023-01-04,[7],311924866,31880,장편,한국,['기타'],12세이상관람가,권상우
20228829,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,[8],1158912824,124810,장편,기타,['애니메이션'],전체관람가,
20227925,몬스터 신부: 101번째 프로포즈,2022-12-28,[9],235671900,25652,장편,헝가리,"['애니메이션', '코미디', '판타지', '어드벤처']",전체관람가,황창영
20228308,극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,[10],1777163300,197213,장편,한국,['애니메이션'],전체관람가,이선
